index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;5;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;14;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
6;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
7;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
8;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;14;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
16;10;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
17;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
20;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
22;1;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;14;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;14;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;12;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;8;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
31;9;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;9;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
35;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;12;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;14;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;7;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
47;12;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
48;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
49;9;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
50;4;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
