edge_slice_demand;k_1= (1,2,3);k_2= (10,14,4);k_3= (1,2,6);k_4= (2,5,6);k_5= (14,8,6);k_6= (13,12,3);k_7= (12,4,6);k_8= (9,6,6);k_9= (3,12,6);k_10= (1,7,3);k_11= (7,4,6);k_12= (7,16,3);k_13= (13,16,6);k_14= (5,7,3);k_15= (8,9,3);k_16= (15,1,6);k_17= (11,10,6);k_18= (11,7,3);k_19= (11,6,6);k_20= (8,3,6);k_21= (4,6,4);k_22= (1,16,3);k_23= (12,15,3);k_24= (15,17,3);k_25= (12,17,6);k_26= (7,3,4);k_27= (5,1,6);k_28= (8,2,3);k_29= (5,17,6);k_30= (5,12,3);k_31= (14,12,3);k_32= (8,7,3);k_33= (4,1,4);k_34= (17,10,6);k_35= (1,12,6);k_36= (13,12,6);k_37= (11,9,6);k_38= (16,17,3);k_39= (11,7,6);k_40= (17,15,6);k_41= (2,7,6);k_42= (8,13,3);k_43= (15,17,6);k_44= (9,7,3);k_45= (8,14,6);k_46= (15,5,3);k_47= (15,14,6);k_48= (14,5,6);k_49= (13,5,3);k_50= (11,2,3);
[1,3];1; ;1; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3];1; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;
[3,5]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ;
[5,11]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ;1;
[6,7]; ; ; ; ; ; ; ; ; ;1;1;1; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[6,9]; ; ; ; ; ; ; ;1; ;1;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
