edge_slice_demand;k_1= (8,6,6);k_2= (12,2,3);k_3= (10,13,3);k_4= (1,5,3);k_5= (4,14,3);k_6= (14,8,6);k_7= (8,1,6);k_8= (14,10,3);k_9= (12,5,3);k_10= (2,10,3);
[1,2]; ; ; ;1; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ; ;
[1,8]; ; ; ; ; ; ;1; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ;1;
[2,4]; ;1; ;1; ; ; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ;1;
[4,5]; ; ; ;1; ; ; ; ; ; ;
[4,11]; ;1; ; ;1; ; ; ; ; ;
[5,6];1; ; ; ; ; ; ; ;1; ;
[5,7];1; ; ; ; ; ; ; ; ; ;
[6,10]; ; ; ; ; ; ; ; ; ;1;
[6,13]; ; ; ; ; ; ; ; ;1; ;
[7,8];1; ; ; ; ; ; ; ; ; ;
[8,9]; ; ; ; ; ;1; ; ; ; ;
[9,10]; ; ;1; ; ; ; ;1; ; ;
[9,12]; ; ;1; ; ; ; ; ; ; ;
[9,14]; ; ; ; ; ;1; ;1; ; ;
[11,12]; ;1; ; ; ; ; ; ; ; ;
[11,14]; ; ; ; ;1; ; ; ; ; ;
[12,13]; ; ;1; ; ; ; ; ;1; ;
[13,14]; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;6;10;3;7;7;6;6;9;10;3;
