edge_slice_demand;k_1= (7,1,6);k_2= (3,15,6);k_3= (12,4,6);k_4= (5,4,4);k_5= (16,6,6);k_6= (3,6,3);k_7= (1,17,3);k_8= (16,15,4);k_9= (12,10,6);k_10= (17,15,4);k_11= (2,6,6);k_12= (2,3,4);k_13= (11,6,3);k_14= (17,4,6);k_15= (1,8,4);k_16= (9,11,6);k_17= (10,1,4);k_18= (3,6,3);k_19= (16,9,3);k_20= (4,16,3);
[1,5];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;
[1,18]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ;
[2,10]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ;
[3,5]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ;
[3,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,18]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,9]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,12]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,13]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,15]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[4,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[5,9]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,10];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[5,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,11]; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[7,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,16];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,12]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,17]; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;
[9,10]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[9,15]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[10,16];1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[11,16]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[12,13]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,17]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[8,15]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;6;10;6;4;12;12;7;12;6;10;6;10;3;6;4;6;10;9;9;3;
