edge_slice_demand;k_1= (6,3,6);k_2= (5,7,6);k_3= (14,11,6);k_4= (14,1,3);k_5= (5,10,6);k_6= (12,2,3);k_7= (12,3,3);k_8= (12,2,3);k_9= (7,5,6);k_10= (13,8,6);k_11= (5,11,3);k_12= (14,7,6);k_13= (8,4,6);k_14= (3,6,6);k_15= (11,1,3);k_16= (10,5,6);k_17= (2,8,3);k_18= (2,5,6);k_19= (14,3,3);k_20= (5,8,6);k_21= (2,13,3);k_22= (1,3,6);k_23= (3,13,3);k_24= (14,9,6);k_25= (4,5,6);k_26= (14,13,6);k_27= (4,14,3);k_28= (12,11,6);k_29= (14,4,3);k_30= (8,10,6);k_31= (9,1,3);k_32= (9,12,6);k_33= (14,10,6);k_34= (3,12,3);k_35= (10,6,6);k_36= (12,11,6);k_37= (7,6,6);k_38= (12,1,3);k_39= (10,12,6);k_40= (6,11,3);k_41= (3,9,3);k_42= (14,7,6);k_43= (13,3,3);k_44= (2,3,6);k_45= (7,14,6);k_46= (10,7,6);k_47= (12,14,6);k_48= (14,12,6);k_49= (9,5,6);k_50= (4,7,6);
[1,2]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,8]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[2,4]; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[3,6];1; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;
[4,11]; ; ; ; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;
[5,6]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;
[5,7]; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1;
[6,10]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[6,13]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ;1; ;
