edge_slice_demand;k_1= (9,13,6);k_2= (5,11,3);k_3= (6,10,6);k_4= (9,14,3);k_5= (2,12,3);k_6= (10,14,6);k_7= (9,10,6);k_8= (3,5,3);k_9= (6,13,6);k_10= (1,6,3);k_11= (9,10,6);k_12= (2,9,3);k_13= (13,10,6);k_14= (11,12,6);k_15= (12,13,6);k_16= (13,4,3);k_17= (1,12,3);k_18= (2,12,3);k_19= (2,11,3);k_20= (2,1,6);k_21= (11,3,3);k_22= (8,1,3);k_23= (2,11,3);k_24= (8,1,6);k_25= (7,12,6);k_26= (2,11,3);k_27= (4,2,3);k_28= (10,3,3);k_29= (2,8,3);k_30= (10,2,3);k_31= (13,1,3);k_32= (7,10,6);k_33= (5,13,3);k_34= (2,6,6);k_35= (7,13,3);k_36= (1,10,3);k_37= (6,10,3);k_38= (6,1,3);k_39= (2,10,3);k_40= (1,13,3);
[1,2]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ;1;
[1,8]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ;
[2,4]; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ;1; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;1; ;1; ;1;1;1;
[4,5]; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,11]; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,6]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[5,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,10]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ;1;1; ;1; ;
[6,13]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1;
[7,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;
[8,9]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;
[9,10]; ; ; ; ; ;1;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[9,12];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[9,14]; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[11,12]; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[11,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[12,13];1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[13,14]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;24;53;56;3;15;9;54;23;24;30;16;50;60;6;6;60;54;18;35;39;3;3;38;20;6;49;57;3;60;60;52;27;4;49;41;24;6;6;13;35;
