index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;7;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;7;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;9;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;11;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
10;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
16;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;10;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
21;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;14;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;9;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;8;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;8;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
33;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;8;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;4;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
38;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
39;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
40;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
41;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
43;8;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
44;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;6;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
49;11;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
51;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
52;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
55;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
57;11;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
58;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
59;8;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
60;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
61;1;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
63;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
64;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
65;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
66;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
67;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
68;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
69;11;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
70;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
71;9;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
72;6;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
73;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
74;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
75;5;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
76;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
77;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
78;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
79;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
80;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
