index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;14;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
3;16;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;5;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;11;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
8;18;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;11;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
