index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;15;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;11;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
6;13;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;15;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;7;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;12;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;18;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;15;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;8;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;12;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
17;11;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;9;16;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
19;12;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
20;16;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
