index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;14;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
5;4;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
6;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
7;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;5;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;8;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
13;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;8;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
17;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
19;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
24;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;9;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;11;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
28;11;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
30;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
