index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;7;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;9;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;10;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;7;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
6;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;18;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;16;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
9;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;12;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
11;8;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;17;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;15;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;16;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;10;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;7;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;15;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;8;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
22;12;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
23;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;4;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;2;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
26;13;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
27;5;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;3;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;4;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
30;16;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;16;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;9;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;1;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;6;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;5;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;6;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
38;18;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;14;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;6;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
42;4;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
43;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;17;18;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
45;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;10;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
47;12;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;5;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
49;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;1;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;10;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
53;17;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;8;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;9;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
56;13;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
57;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
58;8;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;8;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
61;6;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
62;9;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
63;7;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
64;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
65;16;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
66;15;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
67;16;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
68;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
69;7;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
70;15;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
71;2;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
72;4;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
73;13;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
74;17;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
75;3;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
76;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
77;4;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
78;6;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
79;13;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
80;14;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
81;16;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
82;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
83;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
